steps,scenario,seed,ppo_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s,beats_all_fixed
1520000,Medium,954791,21956724.0,48471455.0,54.7,35737936.0,38.6,31449598.0,30.2,True
1530000,High,199010,68133527.0,125477845.0,45.7,77663927.0,12.3,62406920.0,-9.2,False
1540000,Low,439799,4249253.0,14132277.0,69.9,5609939.0,24.3,3841954.0,-10.6,False
1550000,Medium,353769,18084471.0,46752709.0,61.3,34573217.0,47.7,29819572.0,39.4,True
1560000,High,293913,62750584.0,123068275.0,49.0,77976620.0,19.5,63766831.0,1.6,True
1570000,Low,221608,4711918.0,10917232.0,56.8,5092786.0,7.5,4179372.0,-12.7,False
1580000,Medium,750604,20694750.0,43153618.0,52.0,32285642.0,35.9,27701657.0,25.3,True
1590000,High,717431,114942288.0,122507712.0,6.2,79251840.0,-45.0,66408526.0,-73.1,False
1600000,Low,678924,54919931.0,14385917.0,-281.8,9130115.0,-501.5,8283608.0,-563.0,False
1610000,Medium,155972,41281380.0,45301348.0,8.9,30963548.0,-33.3,25351625.0,-62.8,False
1620000,High,67021,98746338.0,116244492.0,15.1,77311239.0,-27.7,62047511.0,-59.1,False
1630000,Low,184141,47700151.0,20630480.0,-131.2,9477147.0,-403.3,6545972.0,-628.7,False
1640000,Medium,703240,37488308.0,46966716.0,20.2,35261101.0,-6.3,29536062.0,-26.9,False
1650000,High,177689,71276723.0,129413805.0,44.9,82201142.0,13.3,67546880.0,-5.5,False
1660000,Low,84376,60309004.0,12285466.0,-390.9,4645702.0,-1198.2,3914448.0,-1440.7,False
1670000,Medium,376036,27687456.0,51064765.0,45.8,35398695.0,21.8,29219417.0,5.2,True
1680000,High,821705,62043874.0,126998043.0,51.1,79858264.0,22.3,64523102.0,3.8,True
1690000,Low,734483,4113271.0,14771326.0,72.2,5320009.0,22.7,3907653.0,-5.3,False
1700000,Medium,161032,28080278.0,45581357.0,38.4,34669894.0,19.0,28958158.0,3.0,True
1710000,High,789541,58244089.0,117202259.0,50.3,75701058.0,23.1,61471369.0,5.3,True
1720000,Low,916253,4460655.0,13204640.0,66.2,6656595.0,33.0,4316203.0,-3.3,False
1730000,Medium,887588,23694046.0,46845642.0,49.4,32827773.0,27.8,25399227.0,6.7,True
1740000,High,308777,61185575.0,126770629.0,51.7,77385020.0,20.9,64260183.0,4.8,True
1750000,Low,285448,3989641.0,12553613.0,68.2,5156750.0,22.6,4107998.0,2.9,True
1760000,Medium,964132,24136852.0,42532157.0,43.3,31572618.0,23.6,24860453.0,2.9,True
1770000,High,982041,63727099.0,126891691.0,49.8,81196105.0,21.5,66534488.0,4.2,True
1780000,Low,319291,5919504.0,15174989.0,61.0,9762846.0,39.4,6765763.0,12.5,True
1790000,Medium,213603,17346817.0,51082354.0,66.0,34204647.0,49.3,25839735.0,32.9,True
1800000,High,68337,109883732.0,124613940.0,11.8,79920463.0,-37.5,64477884.0,-70.4,False
1810000,Low,686824,22450141.0,15620658.0,-43.7,8626335.0,-160.3,5681316.0,-295.2,False
1820000,Medium,936373,28552795.0,44477201.0,35.8,33079374.0,13.7,26213102.0,-8.9,False
1830000,High,784129,121618549.0,128796856.0,5.6,80888068.0,-50.4,66084055.0,-84.0,False
1840000,Low,177492,925277544.0,13968708.0,-6523.9,7376595.0,-12443.4,6242771.0,-14721.6,False
1850000,Medium,914065,62192886.0,44836320.0,-38.7,32407996.0,-91.9,24852810.0,-150.2,False
1860000,High,654358,151500635.0,115791598.0,-30.8,78348622.0,-93.4,66835569.0,-126.7,False
1870000,Low,150460,16908482.0,16941366.0,0.2,6597070.0,-156.3,4228298.0,-299.9,False
1880000,Medium,228049,57359547.0,48832257.0,-17.5,34749066.0,-65.1,26673122.0,-115.0,False
1890000,High,782464,152674868.0,125258650.0,-21.9,82573360.0,-84.9,63620021.0,-140.0,False
1900000,Low,326131,903839592.0,14693072.0,-6051.5,8131091.0,-11015.8,6240514.0,-14383.4,False
1910000,Medium,668744,82093805.0,50121818.0,-63.8,37261796.0,-120.3,33152676.0,-147.6,False
1920000,High,320441,148039523.0,128531045.0,-15.2,82245597.0,-80.0,67038288.0,-120.8,False
1930000,Low,296359,917859405.0,14309109.0,-6314.5,7211644.0,-12627.5,5275344.0,-17299.0,False
1940000,Medium,58413,943989002.0,46871239.0,-1914.0,32876559.0,-2771.3,27141628.0,-3378.0,False
1950000,High,61033,206046509.0,117808665.0,-74.9,77239746.0,-166.8,61947875.0,-232.6,False
1960000,Low,11103,900072626.0,15424147.0,-5735.5,7815762.0,-11416.1,4431847.0,-20209.2,False
1970000,Medium,282852,943647660.0,45576775.0,-1970.5,30888414.0,-2955.0,23041628.0,-3995.4,False
1980000,High,104724,863859444.0,124232192.0,-595.4,77408803.0,-1016.0,61023363.0,-1315.6,False
1990000,Low,749133,907058580.0,13241053.0,-6750.4,6891144.0,-13062.7,4194383.0,-21525.6,False
2000000,Medium,440388,947498364.0,47484377.0,-1895.4,34991062.0,-2607.8,29495811.0,-3112.3,False
