model,scenario,seed,total_wait,arrived,switches
ck1790000,Low,123,33090882.0,688,97
ck1790000,Medium,42,17386393.0,1073,81
ck1790000,Medium,123,16351267.0,987,82
ck1770000,High,42,65730201.0,1739,93
ck1770000,High,123,59341293.0,1681,92
ck1810000,Low,42,29658203.0,705,110
ck1810000,Low,123,33049558.0,684,111
ck1810000,Medium,42,35022665.0,1094,98
ck1810000,Medium,123,34205236.0,1007,103
ck1790000,High,42,70387713.0,1753,127
ck1790000,High,123,65985044.0,1696,259
ck1830000,Low,42,14065501.0,671,118
ck1830000,Low,123,21573501.0,662,108
ck1830000,Medium,42,36077787.0,1056,106
ck1830000,Medium,123,51075485.0,1027,108
ck1810000,High,42,114602515.0,1780,203
ck1810000,High,123,108751630.0,1762,200
ck1850000,Medium,42,53900774.0,1078,145
ck1850000,Medium,123,42298723.0,976,130
ck1830000,High,123,117409338.0,1737,237
ck1830000,High,42,120277890.0,1733,244
ck1850000,Low,42,929441416.0,607,322
ck1850000,Low,123,920702647.0,562,326
ck1850000,High,123,153747857.0,1756,235
ck1850000,High,42,156374153.0,1730,234
ck1870000,Low,42,929512824.0,579,322
ck1870000,Medium,123,41885124.0,1001,138
ck1870000,Low,123,920478688.0,530,327
ck1870000,High,123,153717204.0,1743,242
ck1870000,High,42,159548644.0,1704,251
ck1870000,Medium,42,967644385.0,903,323
ck1890000,Medium,123,44529475.0,956,144
ck1890000,Medium,42,63303566.0,1103,158
ck1890000,Low,123,920702647.0,562,326
ck1890000,Low,42,929216476.0,554,322
ck1890000,High,123,156251302.0,1700,246
ck1890000,High,42,159720022.0,1726,257
ck1910000,Low,42,929134616.0,567,479
ck1910000,Medium,123,80374176.0,988,195
ck1910000,Low,123,919832781.0,577,488
ck1910000,High,42,173765540.0,1749,274
ck1910000,Medium,42,955881287.0,883,478
ck1910000,High,123,184384659.0,1724,336
ck1930000,Medium,123,69212945.0,1010,152
ck1930000,Low,42,927776841.0,585,489
ck1930000,Low,123,919171744.0,518,493
ck1930000,High,42,185780933.0,1732,349
ck1930000,Medium,42,945704487.0,888,489
ck1930000,High,123,189076102.0,1729,356
ck1950000,Medium,123,80340252.0,975,191
ck1950000,Low,42,929433688.0,552,322
ck1950000,Low,123,920478688.0,530,327
ck1950000,High,42,199148628.0,1740,401
ck1950000,Medium,42,955555476.0,863,329
ck1970000,Medium,123,77452393.0,951,198
ck1970000,Low,42,929512824.0,579,322
ck1950000,High,123,863400230.0,1550,358
ck1970000,Low,123,920478688.0,530,327
ck1970000,High,42,205647382.0,1829,425
ck1970000,Medium,42,953442616.0,864,329
ck1970000,High,123,197614225.0,1740,385
ck1990000,Low,42,929324546.0,572,325
ck1990000,Low,123,920608068.0,567,331
ck1990000,Medium,42,947401202.0,902,338
ck1990000,Medium,123,933970686.0,820,362
ck2010000,Low,42,929478470.0,604,326
ck1990000,High,42,991623809.0,1437,362
ck2010000,Low,123,920608068.0,567,331
ck1990000,High,123,992399232.0,1423,351
ck2010000,Medium,42,947401202.0,902,338
ck2010000,Medium,123,933970686.0,820,362
ck2030000,Low,42,929455101.0,588,325
ck2010000,High,42,991623809.0,1437,362
ck2010000,High,123,990770361.0,1424,351
ck2030000,Low,123,920608068.0,567,331
ck2030000,Medium,42,950944903.0,872,335
ck2030000,Medium,123,935603689.0,835,359
ck2050000,Low,42,929455101.0,588,325
ck2030000,High,42,982535614.0,1440,368
ck2050000,Low,123,920608068.0,567,331
ck2030000,High,123,996777465.0,1400,348
ck2050000,Medium,42,954576494.0,872,332
ck2050000,Medium,123,936420804.0,858,359
ck2050000,High,42,976855270.0,1451,383
ck2050000,High,123,997790787.0,1397,347
ck2070000,Low,42,927738774.0,624,336
ck2070000,Low,123,919295936.0,614,342
ck2070000,Medium,42,947047759.0,901,339
ck2070000,Medium,123,932414946.0,854,364
ck2070000,High,123,991391962.0,1453,354
ck2070000,High,42,984606247.0,1427,375
ck2090000,Low,42,927776841.0,585,489
ck2090000,Medium,123,78157400.0,1050,191
ck2090000,Low,123,919076895.0,580,494
ck2090000,High,123,197581240.0,1715,378
ck2090000,Medium,42,945704487.0,888,489
ck2090000,High,42,863143842.0,1578,499
ck2110000,Low,42,927776841.0,585,489
ck2110000,Medium,123,78157400.0,1050,191
ck2110000,Low,123,919171744.0,518,493
ck2110000,High,123,197581240.0,1715,378
ck2110000,High,42,201585245.0,1753,400
ck2110000,Medium,42,945704487.0,888,489
ck2130000,Low,42,927776841.0,585,489
ck2130000,Low,123,919171744.0,518,493
ck2130000,High,42,139834039.0,1770,367
ck2130000,Medium,42,945704487.0,888,489
ck2130000,High,123,139734276.0,1689,379
ck2130000,Medium,123,877088311.0,924,500
ck2150000,Medium,123,78157400.0,1050,191
ck2150000,Low,42,927776841.0,585,489
ck2150000,Low,123,919171744.0,518,493
ck2150000,Medium,42,945704487.0,888,489
ck2150000,High,42,185780933.0,1732,349
ck2150000,High,123,192515405.0,1715,371
ck2170000,Medium,123,78157400.0,1050,191
ck2170000,Low,123,919171744.0,518,493
ck2170000,Low,42,927776841.0,585,489
ck2170000,High,42,176819902.0,1755,292
ck2170000,Medium,42,945704487.0,888,489
ck2170000,High,123,858035071.0,1549,504
ck2190000,Medium,123,83705531.0,1023,200
ck2190000,Low,42,928139373.0,594,490
ck2190000,Low,123,919142614.0,619,495
