steps,scenario,total_wait,fixed_30s_wait,pct_vs_30s,fixed_45s_wait,pct_vs_45s,fixed_60s_wait,pct_vs_60s
130000,Low,923516105.5,13323576.0,-6831.4,4299201.5,-21381.1,3709842.5,-24793.7
150000,Low,923164477.0,13323576.0,-6828.8,4299201.5,-21372.9,3709842.5,-24784.2
170000,Low,923681504.0,13323576.0,-6832.7,4299201.5,-21385.0,3709842.5,-24798.1
190000,Low,923121773.5,13323576.0,-6828.5,4299201.5,-21371.9,3709842.5,-24783.0
210000,Low,922868298.0,13323576.0,-6826.6,4299201.5,-21366.0,3709842.5,-24776.2
230000,Low,922769594.0,13323576.0,-6825.8,4299201.5,-21363.7,3709842.5,-24773.6
250000,Low,922664566.5,13323576.0,-6825.1,4299201.5,-21361.3,3709842.5,-24770.7
270000,Low,922771875.5,13323576.0,-6825.9,4299201.5,-21363.8,3709842.5,-24773.6
290000,Low,923060582.5,13323576.0,-6828.0,4299201.5,-21370.5,3709842.5,-24781.4
310000,Low,923423306.5,13323576.0,-6830.7,4299201.5,-21378.9,3709842.5,-24791.2
330000,Low,923423306.5,13323576.0,-6830.7,4299201.5,-21378.9,3709842.5,-24791.2
350000,Low,923422631.5,13323576.0,-6830.7,4299201.5,-21378.9,3709842.5,-24791.2
370000,Low,923516082.5,13323576.0,-6831.4,4299201.5,-21381.1,3709842.5,-24793.7
390000,Low,923464943.0,13323576.0,-6831.1,4299201.5,-21379.9,3709842.5,-24792.3
410000,Low,923224747.5,13323576.0,-6829.3,4299201.5,-21374.3,3709842.5,-24785.8
430000,Low,922941067.5,13323576.0,-6827.1,4299201.5,-21367.7,3709842.5,-24778.2
450000,Low,923330982.5,13323576.0,-6830.1,4299201.5,-21376.8,3709842.5,-24788.7
470000,Low,922936395.5,13323576.0,-6827.1,4299201.5,-21367.6,3709842.5,-24778.0
490000,Low,923437795.0,13323576.0,-6830.9,4299201.5,-21379.3,3709842.5,-24791.6
510000,Low,923423306.5,13323576.0,-6830.7,4299201.5,-21378.9,3709842.5,-24791.2
530000,Low,923422631.5,13323576.0,-6830.7,4299201.5,-21378.9,3709842.5,-24791.2
550000,Low,923437795.0,13323576.0,-6830.9,4299201.5,-21379.3,3709842.5,-24791.6
570000,Low,923490153.5,13323576.0,-6831.2,4299201.5,-21380.5,3709842.5,-24793.0
590000,Low,923490153.5,13323576.0,-6831.2,4299201.5,-21380.5,3709842.5,-24793.0
610000,Low,923423306.5,13323576.0,-6830.7,4299201.5,-21378.9,3709842.5,-24791.2
630000,Low,485103173.5,13323576.0,-3540.9,4299201.5,-11183.6,3709842.5,-12976.1
650000,Low,37862324.0,13323576.0,-184.2,4299201.5,-780.7,3709842.5,-920.6
670000,Low,38692660.5,13323576.0,-190.4,4299201.5,-800.0,3709842.5,-943.0
690000,Low,40268778.0,13323576.0,-202.2,4299201.5,-836.7,3709842.5,-985.5
710000,Low,40268778.0,13323576.0,-202.2,4299201.5,-836.7,3709842.5,-985.5
730000,Low,43208757.5,13323576.0,-224.3,4299201.5,-905.0,3709842.5,-1064.7
750000,Low,40508130.5,13323576.0,-204.0,4299201.5,-842.2,3709842.5,-991.9
770000,Low,45200913.0,13323576.0,-239.3,4299201.5,-951.4,3709842.5,-1118.4
790000,Low,16891755.5,13323576.0,-26.8,4299201.5,-292.9,3709842.5,-355.3
810000,Low,52964204.5,13323576.0,-297.5,4299201.5,-1132.0,3709842.5,-1327.7
830000,Low,16833940.0,13323576.0,-26.3,4299201.5,-291.6,3709842.5,-353.8
850000,Low,11743102.5,13323576.0,11.9,4299201.5,-173.1,3709842.5,-216.5
870000,Low,6763363.0,13323576.0,49.2,4299201.5,-57.3,3709842.5,-82.3
890000,Low,3914543.5,13323576.0,70.6,4299201.5,8.9,3709842.5,-5.5
910000,Low,3953338.5,13323576.0,70.3,4299201.5,8.0,3709842.5,-6.6
930000,Low,3951781.0,13323576.0,70.3,4299201.5,8.1,3709842.5,-6.5
950000,Low,3718027.0,13323576.0,72.1,4299201.5,13.5,3709842.5,-0.2
970000,Low,6071001.5,13323576.0,54.4,4299201.5,-41.2,3709842.5,-63.6
990000,Low,4156830.0,13323576.0,68.8,4299201.5,3.3,3709842.5,-12.0
1010000,Low,7280536.5,13323576.0,45.4,4299201.5,-69.3,3709842.5,-96.2
1030000,Low,51933058.0,13323576.0,-289.8,4299201.5,-1108.0,3709842.5,-1299.9
1050000,Low,51486716.0,13323576.0,-286.4,4299201.5,-1097.6,3709842.5,-1287.8
1070000,Low,923392239.5,13323576.0,-6830.5,4299201.5,-21378.2,3709842.5,-24790.3
1090000,Low,924760906.0,13323576.0,-6840.8,4299201.5,-21410.1,3709842.5,-24827.2
1110000,Low,923395099.5,13323576.0,-6830.5,4299201.5,-21378.3,3709842.5,-24790.4
1130000,Low,51398240.5,13323576.0,-285.8,4299201.5,-1095.5,3709842.5,-1285.5
1150000,Low,51136868.0,13323576.0,-283.8,4299201.5,-1089.5,3709842.5,-1278.4
1170000,Low,45485659.5,13323576.0,-241.4,4299201.5,-958.0,3709842.5,-1126.1
1190000,Low,46449143.0,13323576.0,-248.6,4299201.5,-980.4,3709842.5,-1152.1
1210000,Low,34035446.5,13323576.0,-155.5,4299201.5,-691.7,3709842.5,-817.4
1230000,Low,39374027.0,13323576.0,-195.5,4299201.5,-815.8,3709842.5,-961.3
1250000,Low,9185872.5,13323576.0,31.1,4299201.5,-113.7,3709842.5,-147.6
1270000,Low,3983457.0,13323576.0,70.1,4299201.5,7.3,3709842.5,-7.4
1290000,Low,7779139.5,13323576.0,41.6,4299201.5,-80.9,3709842.5,-109.7
1310000,Low,3994547.5,13323576.0,70.0,4299201.5,7.1,3709842.5,-7.7
1330000,Low,3979550.5,13323576.0,70.1,4299201.5,7.4,3709842.5,-7.3
1350000,Low,3928885.0,13323576.0,70.5,4299201.5,8.6,3709842.5,-5.9
1370000,Low,48870036.5,13323576.0,-266.8,4299201.5,-1036.7,3709842.5,-1217.3
1390000,Low,14265148.0,13323576.0,-7.1,4299201.5,-231.8,3709842.5,-284.5
1410000,Low,41156511.5,13323576.0,-208.9,4299201.5,-857.3,3709842.5,-1009.4
